작품명,캐릭터 한글명,캐릭터 영문 프롬프트
5등분의 신부,나카노 니노,nakano_nino
5등분의 신부,나카노 라이하,nakano_raiha
5등분의 신부,나카노 미쿠,nakano_miku
5등분의 신부,나카노 요츠바,nakano_yotsuba
5등분의 신부,나카노 이츠키,nakano_itsuki
5등분의 신부,나카노 이치카,nakano_ichika
5등분의 신부,나카노 자네에몬,nakano_zeniemon
5등분의 신부,마루오 마사요시,maruo_masayoshi
5등분의 신부,우에스기 라이하,uesugi_raiha
5등분의 신부,우에스기 후타로,uesugi_fuutarou
DC 코믹스,그린 애로우,green_arrow
DC 코믹스,닉스 새비지,nyssa_al_ghul
DC 코믹스,다이애나 프린스,diana_prince
DC 코믹스,듀엘라 덴트,Duela_Dent
DC 코믹스,레이디 블랙호크,Lady_Blackhawk
DC 코믹스,레이디 시바,Lady_Shiva
DC 코믹스,레이븐,Raven
DC 코믹스,로이스 레인,Lois_Lane
DC 코믹스,로즈 윌슨,Rose_Wilson
DC 코믹스,머라,mera_(dc)
DC 코믹스,메라,Mera
DC 코믹스,미라클 몰리,Miracle_Molly
DC 코믹스,바바라 고든,Barbara_Gordon
DC 코믹스,배트걸,Batgirl
DC 코믹스,배트우먼,Batwoman
DC 코믹스,블랙카나리,Black_Canary
DC 코믹스,블랙파이어,Black_Fire
DC 코믹스,셀리나 카일,selina_kyle
DC 코믹스,슈퍼걸,Super_Girl
DC 코믹스,슈퍼우먼,Super_Woman
DC 코믹스,스타걸,Stargirl
DC 코믹스,스타파이어,Starfire
DC 코믹스,스테파니 브라운,Stephanie_Brown
DC 코믹스,실버스완,Silver_Swan
DC 코믹스,아이리스 웨스트,iris_west
DC 코믹스,아쿠아맨,aquaman
DC 코믹스,원더걸,Wonder_Girl
DC 코믹스,원더우먼,Wonder_Woman
DC 코믹스,월리 웨스트,wally_west
DC 코믹스,인첸트리스,Enchantress
DC 코믹스,자타나,Zatanna
DC 코믹스,제시카 크루즈,Jessica_Cruz
DC 코믹스,카산드라 케인,Cassandra_Cain
DC 코믹스,카타나,Katana
DC 코믹스,캣우먼,Catwoman
DC 코믹스,탈리아 알 굴,Talia_al_Ghul
DC 코믹스,파워걸,Power_Girl
DC 코믹스,팬텀 스트레인저,phantom_stranger
DC 코믹스,펀치라인,Punchline
DC 코믹스,포이즌 아이비,Poison_Ivy
DC 코믹스,플래시,the_flash
DC 코믹스,할리퀸,Harley_Quinn
DC 코믹스,헌트리스,Huntress
Fate/Grand Order,BB,BB_BB
