artist_id,name,raw_variants,positive_count,negative_count,total_count,avg_positive_weight,max_positive_weight,min_positive_weight,preset_count,preset_ids,sample_preset_names
mx2j,mx2j,mx2j,36,0,36,1.569,3.0,0.3,36,artist_00002; artist_00003; artist_00007; artist_00008; artist_00009; artist_00010; artist_00011; artist_00020; artist_00030; artist_00037; artist_00040; artist_00041; artist_00042; artist_00043; artist_00044; artist_00045; artist_00046; artist_00047; artist_00049; artist_00050; artist_00051; artist_00052; artist_00053; artist_00054; artist_00055; artist_00056; artist_00057; artist_00058; artist_00059; artist_00063; artist_00070; artist_00071; artist_00075; artist_00076; artist_00078; artist_00079,Asanagi base / Philia의 그림체(arca) / Balanced Semi 2D | Asanagi base v2 / Philia의 그림체(arca) / Balanced Semi 2D | Cartoon style / Philia의 그림체(arca) / 2D | Casual & Heavy color / CostaRocky의 그림체(arca) / Balanced Semi 2D | Channel zwa style ffffinal / Philia의 그림체(arca) / Balanced Semi 2D
channel_(caststation),channel_(caststation),channel (caststation); channel_(caststation),34,0,34,2.047,3.0,0.8,34,artist_00002; artist_00003; artist_00007; artist_00009; artist_00010; artist_00011; artist_00032; artist_00037; artist_00040; artist_00041; artist_00042; artist_00043; artist_00044; artist_00045; artist_00046; artist_00047; artist_00048; artist_00049; artist_00050; artist_00051; artist_00052; artist_00053; artist_00054; artist_00055; artist_00056; artist_00057; artist_00058; artist_00059; artist_00063; artist_00070; artist_00071; artist_00076; artist_00078; artist_00079,Asanagi base / Philia의 그림체(arca) / Balanced Semi 2D | Asanagi base v2 / Philia의 그림체(arca) / Balanced Semi 2D | Cartoon style / Philia의 그림체(arca) / 2D | Channel zwa style ffffinal / Philia의 그림체(arca) / Balanced Semi 2D | Classic art style / Philia의 그림체(arca) / Realistic Semi 2D
gogalking,gogalking,gogalking,28,0,28,1.405,2.5,0.8,28,artist_00002; artist_00007; artist_00008; artist_00009; artist_00010; artist_00037; artist_00039; artist_00042; artist_00043; artist_00044; artist_00045; artist_00046; artist_00047; artist_00050; artist_00052; artist_00053; artist_00054; artist_00055; artist_00058; artist_00059; artist_00063; artist_00067; artist_00068; artist_00069; artist_00071; artist_00076; artist_00078; artist_00079,Asanagi base / Philia의 그림체(arca) / Balanced Semi 2D | Cartoon style / Philia의 그림체(arca) / 2D | Casual & Heavy color / CostaRocky의 그림체(arca) / Balanced Semi 2D | Channel zwa style ffffinal / Philia의 그림체(arca) / Balanced Semi 2D | Classic art style / Philia의 그림체(arca) / Realistic Semi 2D
onono_imoko,onono_imoko,onono imoko; onono_imoko,27,0,27,1.122,2.5,0.8,27,artist_00002; artist_00003; artist_00007; artist_00009; artist_00037; artist_00040; artist_00041; artist_00042; artist_00043; artist_00044; artist_00045; artist_00046; artist_00049; artist_00050; artist_00051; artist_00052; artist_00053; artist_00054; artist_00056; artist_00057; artist_00058; artist_00059; artist_00063; artist_00070; artist_00071; artist_00076; artist_00079,Asanagi base / Philia의 그림체(arca) / Balanced Semi 2D | Asanagi base v2 / Philia의 그림체(arca) / Balanced Semi 2D | Cartoon style / Philia의 그림체(arca) / 2D | Channel zwa style ffffinal / Philia의 그림체(arca) / Balanced Semi 2D | Inoue kiyoshirou base / Philia의 그림체(arca) / Balanced Semi 2D / milf tasty
ratatatat74,ratatatat74,Ratatatat74; ratatatat74,26,0,26,1.042,3.0,0.4,26,artist_00002; artist_00003; artist_00008; artist_00009; artist_00020; artist_00037; artist_00038; artist_00040; artist_00041; artist_00042; artist_00043; artist_00044; artist_00045; artist_00046; artist_00047; artist_00050; artist_00051; artist_00053; artist_00054; artist_00055; artist_00058; artist_00063; artist_00071; artist_00076; artist_00078; artist_00079,Asanagi base / Philia의 그림체(arca) / Balanced Semi 2D | Asanagi base v2 / Philia의 그림체(arca) / Balanced Semi 2D | Casual & Heavy color / CostaRocky의 그림체(arca) / Balanced Semi 2D | Channel zwa style ffffinal / Philia의 그림체(arca) / Balanced Semi 2D | FMNZTN's 19 / FMNZTN의 그림체(arca) / Balanced Semi 2D / zagle zagle and looks good
fishine,fishine,fishine,25,0,25,1.352,3.0,0.4,25,artist_00002; artist_00003; artist_00009; artist_00037; artist_00041; artist_00042; artist_00043; artist_00044; artist_00045; artist_00046; artist_00047; artist_00049; artist_00050; artist_00051; artist_00053; artist_00054; artist_00056; artist_00057; artist_00059; artist_00063; artist_00070; artist_00071; artist_00076; artist_00078; artist_00079,Asanagi base / Philia의 그림체(arca) / Balanced Semi 2D | Asanagi base v2 / Philia의 그림체(arca) / Balanced Semi 2D | Channel zwa style ffffinal / Philia의 그림체(arca) / Balanced Semi 2D | Inoue kiyoshirou base / Philia의 그림체(arca) / Balanced Semi 2D / milf tasty | Philia #10 / Philia의 그림체(arca) / Balanced Semi 2D
ie_(raarami),ie_(raarami),ie (raarami); ie_(raarami),23,0,23,1.202,3.0,0.6,23,artist_00002; artist_00003; artist_00020; artist_00040; artist_00042; artist_00043; artist_00044; artist_00045; artist_00046; artist_00047; artist_00049; artist_00053; artist_00055; artist_00057; artist_00058; artist_00059; artist_00063; artist_00065; artist_00066; artist_00070; artist_00071; artist_00078; artist_00079,Asanagi base / Philia의 그림체(arca) / Balanced Semi 2D | Asanagi base v2 / Philia의 그림체(arca) / Balanced Semi 2D | FMNZTN's 19 / FMNZTN의 그림체(arca) / Balanced Semi 2D / zagle zagle and looks good | Philia #1 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #11 / Philia의 그림체(arca) / Realistic Semi 2D
wagashi_(dagashiya),wagashi_(dagashiya),wagashi_(dagashiya),23,0,23,1.191,3.0,0.4,23,artist_00002; artist_00003; artist_00007; artist_00009; artist_00011; artist_00040; artist_00041; artist_00042; artist_00043; artist_00045; artist_00046; artist_00047; artist_00049; artist_00051; artist_00052; artist_00053; artist_00054; artist_00055; artist_00056; artist_00057; artist_00059; artist_00070; artist_00071,Asanagi base / Philia의 그림체(arca) / Balanced Semi 2D | Asanagi base v2 / Philia의 그림체(arca) / Balanced Semi 2D | Cartoon style / Philia의 그림체(arca) / 2D | Channel zwa style ffffinal / Philia의 그림체(arca) / Balanced Semi 2D | Cute style / Philia의 그림체(arca) / 2D-like Semi 2D
freng,freng,freng,22,0,22,0.807,2.4,0.25,22,artist_00009; artist_00020; artist_00022; artist_00025; artist_00032; artist_00040; artist_00041; artist_00042; artist_00043; artist_00044; artist_00045; artist_00046; artist_00047; artist_00049; artist_00051; artist_00053; artist_00055; artist_00056; artist_00059; artist_00070; artist_00071; artist_00075,Channel zwa style ffffinal / Philia의 그림체(arca) / Balanced Semi 2D | FMNZTN's 19 / FMNZTN의 그림체(arca) / Balanced Semi 2D / zagle zagle and looks good | FMNZTN's 3 / FMNZTN의 그림체(arca) / Realistic Semi 2D / tasty chicken farm | FMNZTN's 6 / FMNZTN의 그림체(arca) / Balanced Semi 2D / many humanbody ZzinBba | HisPreciousStyle / DPTG의 그림체(arca) / Balanced Semi 2D
ningen_mame,ningen_mame,ningen mame; ningen_mame,22,0,22,0.945,2.0,0.6,22,artist_00002; artist_00003; artist_00007; artist_00009; artist_00010; artist_00037; artist_00040; artist_00041; artist_00042; artist_00043; artist_00044; artist_00045; artist_00046; artist_00050; artist_00051; artist_00052; artist_00053; artist_00058; artist_00059; artist_00070; artist_00071; artist_00076,Asanagi base / Philia의 그림체(arca) / Balanced Semi 2D | Asanagi base v2 / Philia의 그림체(arca) / Balanced Semi 2D | Cartoon style / Philia의 그림체(arca) / 2D | Channel zwa style ffffinal / Philia의 그림체(arca) / Balanced Semi 2D | Classic art style / Philia의 그림체(arca) / Realistic Semi 2D
