rank,artist_name,total_count,preset_count,avg_positive_weight,danbooru_id,danbooru_wiki,other_names,urls,top_works
1,mx2j,36,36,1.569,69708,https://danbooru.donmai.us/artists/69708,mi.ma.jang; mx2j; mx2j_(nsh6394); nosongang; nsh6394; yonggi; 미.마.장,,blue_archive(50)
2,channel_(caststation),34,34,2.047,241598,https://danbooru.donmai.us/artists/241598,Entertainment; _CASTSTATION; channel; channel_(_caststation); channel_station; channelcaststation; tanosii_chan; tanosiichan1; transmitterchan,,vocaloid(45); ima_sugu_rinne_(vocaloid)(10); utau(7); rabbit_hole_(vocaloid)(6); world_is_mine_(vocaloid)(3)
3,gogalking,28,28,1.405,194706,https://danbooru.donmai.us/artists/194706,march1638; marich1217,,guilty_gear(1); guilty_gear_strive(1); helldivers_(series)(1)
4,onono_imoko,27,27,1.122,6554,https://danbooru.donmai.us/artists/6554,gyokai; gyokai_(alicesoft); gyokai_(artist); himehajime; himehajime69; moai21; shunin; syunin; おののいもこ; 主任; 小野妹子; 魚介; 鱼介,,dohna_dohna_issho_ni_warui_koto_o_shiyou(19); rance_(series)(13); rance_03(8); rance_ix(2); vspo!(1)
5,ratatatat74,26,26,1.042,223219,https://danbooru.donmai.us/artists/223219,mr._skull; mr.해골; ridex619; spray_and_pray,,boku_no_hero_academia(9); overwatch(7); chainsaw_man(6); utau(5); vocaloid(4)
6,fishine,25,25,1.352,37905,https://danbooru.donmai.us/artists/37905,bear_hand; fishine02; hirame; karei; service_heaven; turtle.fish.paint; ひらめ; カレイ; 比目魚; 比目魚先生; 魚生; 龜魚派,,indie_virtual_youtuber(13); league_of_legends(5); fire_emblem(2); fire_emblem_fates(2); hooters(2)
7,ie_(raarami),23,23,1.202,189195,https://danbooru.donmai.us/artists/189195,_raarami_; ammi109; araie7; bessou_1; ie; ie1; ie_; ie_(_raarami_); ie_(araie7); いえ,,blue_archive(7); pokemon(4); pokemon_sun_and_moon(2); pokemon_legends:_z-a(1); egyptian_mythology(1)
8,wagashi_(dagashiya),23,23,1.191,155904,https://danbooru.donmai.us/artists/155904,wagasi; wagasi012; wakako_(wagasiorhugasi); きしわがし; 和菓子; 駄菓子屋(和菓子),,summon_night(8); summon_night_3(8); fire_emblem(8); fire_emblem:_three_houses(8); toradora!(5)
9,freng,22,22,0.807,128522,https://danbooru.donmai.us/artists/128522,frengchiano; frengchiano2; gkdms335; icsyoni; icsyoni1; 𝘧𝘳𝘦𝘯𝘨,,blue_archive(18); azur_lane(13); zenless_zone_zero(5); vocaloid(4); stellive(2)
10,ningen_mame,22,22,0.945,230123,https://danbooru.donmai.us/artists/230123,にんげんまめ,,vocaloid(15); k-on!(12); idolmaster(11); idolmaster_cinderella_girls(6); project_sekai(6)
11,strongbana,22,22,1.373,250050,https://danbooru.donmai.us/artists/250050,StorongBana,,league_of_legends(44); zenless_zone_zero(2); genshin_impact(1); the_legend_of_zelda(1); the_legend_of_zelda:_tears_of_the_kingdom(1)
12,ohisashiburi,20,20,0.65,50718,https://danbooru.donmai.us/artists/50718,NUae5elll; avd6jt2l; huro-hairu; illmnsn; llllllll_______; llllllllllllsasi; ohisashi; sheshe...; st.sousuke; st.そうすけ; wntame; y5tyqt; おpp; お久し; お久しのページ; お久しぶり; お久しぶりです; お久しぶりぶりちんぽ王国; ちんぽ王国; ばんくる; シェシェ…,,needy_girl_overdose(24); goddess_of_victory:_nikke(7); azur_lane(6); imouto_tasha_paranoia(2); sweets_paradise(1)
13,kakure_eria,19,19,0.847,138487,https://danbooru.donmai.us/artists/138487,(隠れエリア); haku3490; 影おじ; 隠れエリア,,one-punch_man(16); meitantei_precure!(12); precure(12); cho_kaguya-hime!(8); fate/strange_fake(8)
14,momisan,19,19,1.126,338347,https://danbooru.donmai.us/artists/338347,momi-san; renrencomcom; もみさん,,fate_(series)(50); fate/grand_order(46); fate/extra(3); fate/apocrypha(1)
15,inoue_kiyoshirou,17,17,1.641,23494,https://danbooru.donmai.us/artists/23494,inoue_kishiro; kishiro_inoue; nakamura_yoshihiro; 中村嘉宏; 胃之上奇嘉郎,,comic_x-eros(25); fate_(series)(8); fate/grand_order(7); granblue_fantasy(3); houshi_iin_no_oshigoto(1)
16,soukou_makura,13,12,0.762,108509,https://danbooru.donmai.us/artists/108509,armor_pillow; soukoumakura; undertakerpress; 装甲枕,,arknights(12); girls'_frontline(10); umamusume(7); indie_virtual_youtuber(4); genshin_impact(3)
17,baffu,12,12,0.867,121032,https://danbooru.donmai.us/artists/121032,baffu_(bonnie); bonnie; bonnie-23; bonnie_(baffu); bonnie_3404; buffaler; ばっふ; ぼに～; ぼに～＠c93_東あ-66a; 仔馬牧場の小屋,,blue_archive(19); zenless_zone_zero(6); gundam(2); gundam_seed(2); chainsaw_man(1)
18,kezime,12,12,0.583,231012,https://danbooru.donmai.us/artists/231012,KEZIMEro; 🔞KEZIME,,final_fight(1); final_fight_i(1)
19,imamura_ryou,11,11,1.191,67959,https://danbooru.donmai.us/artists/67959,0000000000yw; Nce42g; Sammo_Hung; freezingtarou29; hamumushao; jeyiyw; jusjusojus; kamegame; kitaakabane15; momo29; momo292929; momo29rim; ryo_imamura; samohankinkinpo; samoman; samomo3mo3; usausau44765957; yw_jeyi888; はむむしゃお; サーモンハラス; 亀噛; 今村亮,,hololive(20); seitokai_ni_mo_ana_wa_aru!(17); final_fantasy(4); final_fantasy_vii(3); perfect_blue(3)
20,kanke_(kank06020602),11,11,1.145,232886,https://danbooru.donmai.us/artists/232886,kank0602; kank06020602; user_krgu2522; カンケー,,yuuyuu_jiteki.(8); ogami_tsumiki_to_ki_nichijou(1); boku_no_hero_academia(1); teihen_no_daigaku_janaru(1); ijiranaide_nagatoro-san(1)
21,murata_yuusuke,11,11,1.155,55021,https://danbooru.donmai.us/artists/55021,村田雄介,,one-punch_man(41); journey_to_the_west(4); zaiyuki(4); dragon_ball(2); shounen_jump(2)
22,limgae,10,10,0.88,128816,https://danbooru.donmai.us/artists/128816,LIMGAE; chaemin186; lim_gae; lim_meat; lim_niku; limdog; limgae2726; limniku; mrasdf; rimu_niku; リム肉; 림개,,pokemon(9); azur_lane(6); goddess_of_victory:_nikke(6); zenless_zone_zero(5); league_of_legends(4)
23,horikoshi_kouhei,9,9,1.356,119310,https://danbooru.donmai.us/artists/119310,Horikoshi_Kouhei; horikoshideru; horikoshiko; horikoshiko_; marunikke; onaraderu; 堀越; 堀越耕平,,boku_no_hero_academia(46); shounen_jump(3); kagurabachi(1); black_clover(1); cyborg_009(1)
24,sparrowl,7,7,1.229,177674,https://danbooru.donmai.us/artists/177674,isb9898; sparrowl19; 참빼미,,indie_virtual_youtuber(9); league_of_legends(5); hazbin_hotel(1); hellaverse(1); waktaverse(1)
25,healthyman,6,6,0.833,179597,https://danbooru.donmai.us/artists/179597,healthy8man; kento0131; take0131; ヘルシーマン,,blue_archive(15); idolmaster(7); honkai:_star_rail(6); honkai_(series)(6); idolmaster_cinderella_girls(5)
26,henreader,6,6,1.533,58411,https://danbooru.donmai.us/artists/58411,henreader_; henreaderh; へんりいだ,,melonbooks(3); comic_exe(1); comitia_153(1); amagi_brilliant_park(1); nyantype(1)
27,imazawa,6,6,0.633,197748,https://danbooru.donmai.us/artists/197748,imaza121; jinze; jinze_(imazawa); 东云我鸟; 今沢; 天上天下天地无双金玉次郎长,,slay_the_spire(3); bilibili(1); arknights(1)
28,kurono_mitsuki,6,6,1.55,274742,https://danbooru.donmai.us/artists/274742,kuro_0807; kurono-mitsuki; kurotuki_nn; クロノミツキ; クロノミツキ@fanbox開始,,dakikano(4); re:lief_~shin'ai_naru_anata_e~(2); melonbooks(1); chainsaw_man(1)
29,2n5,5,5,1.34,96656,https://danbooru.donmai.us/artists/96656,25another; 2n5another; mikenko2222; mogemogedayo; mogemogedayo735842.png; ororororororz; ororororz_gero,,vocaloid(3); scream_(movie)(1); kirby_(series)(1); pokemon(1); hooters(1)
30,asanagi,5,5,2.04,5185,https://danbooru.donmai.us/artists/5185,asanagi_(f/p); asanagi_(kbtr); asanagi_kuon; fatal_pulse; ialray; ills_(fatalpulse); kbtr; victim_girls; zephyr_(fatalpulse); あさなぎ; イアルレイ; 朝凪; 朝凪久遠; 朝凪🔞fatalpulse,,blue_archive(10); orc_eiyuu_monogatari(7); granblue_fantasy(6); elf_village(3); comiket_106(3)
31,aya_shachou,5,5,1.04,19093,https://danbooru.donmai.us/artists/19093,P/A; PresidentIrod; QKEkcVeTIns; ayakatyou; ayasyatyou; gokusaicolor; gokusaishiki; lowest_aya; 彩社長,,blue_archive(14); virtual_ant_channel(3); comiket_106(2); kantai_collection(1); breakout(1)
32,himura_kiseki,5,5,1.28,7501,https://danbooru.donmai.us/artists/7501,Strangestone; arumih; himura_nyuugyou_(kari); ひむら; 比村乳業; 比村乳業（仮）; 比村奇石,,getsuyoubi_no_tawawa(49); kanan-sama_wa_akumade_choroi(1); grisaia_(series)(1); grisaia_phantom_trigger(1)
33,kim_eb,4,4,1.587,132900,https://danbooru.donmai.us/artists/132900,eb; ebkim00; eb十; nakeuna; pobok3120; エブ; キムエブ; 김에브; 김에브/eb十,,hololive(15); hololive_english(15); girls'_frontline(4); azur_lane(4); girls'_frontline_2:_exilium(3)
34,kimtoxic,4,4,1.175,199018,https://danbooru.donmai.us/artists/199018,,,league_of_legends(38); arcane:_league_of_legends(9); chainsaw_man(1)
35,lesly_oh,4,4,1.212,212978,https://danbooru.donmai.us/artists/212978,leslyoh,,league_of_legends(8); alien_stage(8); arcane:_league_of_legends(6); shoujo_kageki_revue_starlight(6); kusuriya_no_hitorigoto(5)
